,Date,Timestamp,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer,EigenLayer
,,,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure,Infrastructure
,,,ethereum,Total,ethereum,ethereum,ethereum,Total,Total,Total,ethereum,ethereum,ethereum,Total,Total,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,STETH,CBETH,RETH,STETH,CBETH,RETH,STETH,CBETH,RETH,STETH,CBETH,RETH
,25/08/2023,1692921600,238802490.02448225,238802490.02448225,165782178.46911377,37166233.334185176,35854078.22118331,165782178.46911377,37166233.334185176,35854078.22118331,100013.98323416151,21402.33988896673,19914.94935523079,100013.98323416151,21402.33988896673,19914.94935523079
,26/08/2023,1693008000,237951703.7575992,237951703.7575992,165261899.7575575,37021865.61385466,35667938.38618705,165261899.7575575,37021865.61385466,35667938.38618705,100024.75457572434,21399.55122966345,19886.449662790088,100024.75457572434,21399.55122966345,19886.449662790088
,27/08/2023,1693094400,236901223.25402683,236901223.25402683,164518758.8988463,36876730.90586402,35505733.449316494,164518758.8988463,36876730.90586402,35505733.449316494,100035.12011896214,21387.858012089167,19884.594699408317,100035.12011896214,21387.858012089167,19884.594699408317
,28/08/2023,1693180800,238307988.8143119,238307988.8143119,165603990.21193063,37017168.971079856,35686829.63130141,165603990.21193063,37017168.971079856,35686829.63130141,100041.67711476766,21373.36322546515,19884.343870520977,100041.67711476766,21373.36322546515,19884.343870520977
,29/08/2023,1693267200,237750733.97402772,237750733.97402772,165197398.54474553,36951691.519678995,35601643.909603216,165197398.54474553,36951691.519678995,35601643.909603216,100050.50967497942,21371.46563930955,19880.190477830267,100050.50967497942,21371.46563930955,19880.190477830267
,30/08/2023,1693353600,248630976.4149587,248630976.4149587,172876986.7573149,38550908.095389724,37203081.56225407,172876986.7573149,38550908.095389724,37203081.56225407,100046.86842132623,21311.913988904646,19849.583333202118,100046.86842132623,21311.913988904646,19849.583333202118
,31/08/2023,1693440000,245234866.95102507,245234866.95102507,170492747.9420362,38043308.06659934,36698810.94238952,170492747.9420362,38043308.06659934,36698810.94238952,100056.77829411266,21309.673698284474,19847.709025532182,100056.77829411266,21309.673698284474,19847.709025532182
,01/09/2023,1693526400,237537578.1753818,237537578.1753818,165125672.39868942,36905634.64970302,35506271.126989365,165125672.39868942,36905634.64970302,35506271.126989365,99972.55716723239,21304.16704171459,19846.105890731196,99972.55716723239,21304.16704171459,19846.105890731196
,02/09/2023,1693612800,234422874.66437232,234422874.66437232,162955575.84862664,36402765.34268515,35064533.47306056,162955575.84862664,36402765.34268515,35064533.47306056,99973.9725939132,21268.51525647948,19843.318868556744,99973.9725939132,21268.51525647948,19843.318868556744
,03/09/2023,1693699200,234816957.19222605,234816957.19222605,163288342.8243459,36432347.21834139,35096267.14953878,163288342.8243459,36432347.21834139,35096267.14953878,99978.77997853694,21267.160446880116,19814.40629472902,99978.77997853694,21267.160446880116,19814.40629472902
,04/09/2023,1693785600,235033031.23458162,235033031.23458162,163446142.35757646,36482620.788303845,35104268.088701315,163446142.35757646,36482620.788303845,35104268.088701315,99981.73576401212,21260.020738863095,19810.087858457664,99981.73576401212,21260.020738863095,19810.087858457664
